Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Antigua and Barbuda,ATG,GDP (current US$),NY.GDP.MKTP.CD,,,,,,,,,,,,,,,,,,77496740.74,87879333.33,109079963,131431037,147841740.7,164369296.3,182144111.1,208372851.9,240923925.9,290440148.1,337174851.9,398637740.7,438794777.8,459469074.1,481706333.3,499281148.1,535172777.8,589429592.6,577280740.7,633730629.6,680617111.1,727860592.6,766198925.9,830158777.8,800740259.3,814615333.3,855643111.1,919577148.1,1022191296,1157005444,1311401333,1368431037,1224253000,1152469074,1142042926,1211411704,1192925407,1280133333,1364863037,1460144704,1532397556
Australia,AUS,GDP (current US$),NY.GDP.MKTP.CD,18573188487,19648336880,19888005376,21501847911,23758539590,25931235301,27261731437,30389741292,32657632434,36620002240,41261059469,45138313361,51954439252,63721973094,88809137804,97147343985,1.04895E+11,1.10174E+11,1.18309E+11,1.34679E+11,1.49738E+11,1.76599E+11,1.93722E+11,1.76986E+11,1.93194E+11,1.80191E+11,1.81977E+11,1.89041E+11,2.357E+11,2.99318E+11,3.10838E+11,3.25358E+11,3.24878E+11,3.11529E+11,3.22201E+11,3.67216E+11,4.00303E+11,4.34568E+11,3.98899E+11,3.88395E+11,4.15034E+11,3.78215E+11,3.94487E+11,4.66295E+11,6.11904E+11,6.92642E+11,7.45522E+11,8.51963E+11,1.05258E+12,9.26448E+11,1.14426E+12,1.39428E+12,1.54341E+12,1.5737E+12,1.46496E+12,1.34903E+12,1.20804E+12,1.32342E+12
Austria,AUT,GDP (current US$),NY.GDP.MKTP.CD,6592693841,7311749633,7756110210,8374175258,9169983886,9994070616,10887682273,11579431669,12440625313,13582798556,15373005769,17858485957,22059612417,29515467988,35189299985,40059206763,42959976068,51545759221,62052258694,73937296655,82058912465,71034228097,71275287328,72121016623,67985345162,69386774475,99036165210,1.24168E+11,1.33339E+11,1.33106E+11,1.66463E+11,1.73794E+11,1.95078E+11,1.9038E+11,2.03535E+11,2.41038E+11,2.37251E+11,2.1279E+11,2.1826E+11,2.17186E+11,1.968E+11,1.97338E+11,2.13378E+11,2.61696E+11,3.00904E+11,3.15974E+11,3.35999E+11,3.88691E+11,4.30294E+11,4.00172E+11,3.91893E+11,4.3112E+11,4.09425E+11,4.30069E+11,4.41885E+11,3.82066E+11,3.908E+11,4.16596E+11
Azerbaijan,AZE,GDP (current US$),NY.GDP.MKTP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8858006036,8792365811,4991350458,3973027397,3313739674,3052467522,3176749593,3962710163,4446396218,4581222442,5272617196,5707720391,6235795104,7276013032,8680472169,13245716099,20982986344,33050343783,48852482960,44291490421,52902703376,65951627200,69683935845,74164435946,75244294275,53074370486,37867518957,40747792238
Burundi,BDI,GDP (current US$),NY.GDP.MKTP.CD,195999990,202999992,213500006,232749998,260750008,158994963,165444571.4,178297142.9,183200000,190205714.3,242732571.4,252842285.7,246804571.4,304339839.6,345263492.1,420986666.7,448412753.6,547535555.6,610225555.6,782496666.7,919726666.7,969046666.7,1013222222,1082926304,987143931.2,1149979286,1201725497,1131466494,1082403219,1113924130,1132101253,1167398478,1083037671,938632612,925030590.2,1000428394,869033856.3,972896267.9,893770806.1,808077223.4,870486065.9,876794723.1,825394490.2,784654423.6,915257323.4,1117257279,1273180597,1356078278,1611634332,1739781489,2026864469,2355652126,2472384907,2714505635,3093647227,3066681387,3007029030,3477502178
Belgium,BEL,GDP (current US$),NY.GDP.MKTP.CD,11658722591,12400145222,13264015675,14260017387,15960106681,17371457608,18651883472,19992040788,21376353113,23710735895,26849148286,29981290025,37408591330,47999363072,56333010460,66029748931,71494539498,83283328419,1.01788E+11,1.16938E+11,1.27508E+11,1.05291E+11,92588895020,87650915976,83795680815,86730038793,1.20661E+11,1.50194E+11,1.63168E+11,1.651E+11,2.06431E+11,2.11638E+11,2.36038E+11,2.25925E+11,2.46195E+11,2.89567E+11,2.81358E+11,2.54814E+11,2.60602E+11,2.60202E+11,2.37905E+11,2.37842E+11,2.5886E+11,3.19003E+11,3.70885E+11,3.87366E+11,4.09813E+11,4.71821E+11,5.18626E+11,4.84553E+11,4.83548E+11,5.27008E+11,4.97884E+11,5.20925E+11,5.30771E+11,4.5504E+11,4.67546E+11,4.92681E+11
Benin,BEN,GDP (current US$),NY.GDP.MKTP.CD,226195579.4,235668222.4,236434906.8,253927646.5,269818988.3,289908720.6,302925280.8,306222000.4,326323097.4,330748211.5,333627758.2,335072975.2,410331901,504376035.7,554654787,676870140.3,698408244.4,750049739.2,928843304.8,1186231265,1405251547,1291119965,1267778489,1095348303,1051133927,1045712703,1336102041,1562412030,1620246187,1502294411,1959965244,1986437860,1695315306,2274557914,1598075932,2169627251,2361116588,2268301538,2455092582,2689787918,2569186643,2680213931,3054571082,3905366188,4521424807,4803702821,5142380779,5969535132,7132787397,7097198712,6970240895,7814081156,8152554487,9157355680,9707432016,8291155881,8573159697,9273558272
Burkina Faso,BFA,GDP (current US$),NY.GDP.MKTP.CD,6.48184E+12,350247237.1,379567178.3,394040749.1,410321785.6,422916848.4,433889831.6,450753993.2,460442864.2,478298781.5,458404330.1,482411279,578595584,674773821.2,751133642.6,939972703.5,976547572.2,1131225279,1475584037,1748480982,1928720390,1775842680,1754450379,1600278756,1459880353,1552493414,2036303381,2369835439,2616040646,2615588546,3101301781,3135045684,2240264712,2332018011,1895290965,2379518099,2586550747,2447669404,2804902724,2993753187,2628920056,2812845514,3205592290,4205691222,4838551100,5462709498,5816310158,6771277871,8369637065,8369175126,8979966766,10724063458,11166063467,11947176342,12377391463,10419303761,11448781714,12873114800
Bangladesh,BGD,GDP (current US$),NY.GDP.MKTP.CD,4274893913,4817580184,5081413340,5319458351,5386054619,5906636557,6439687598,7253575399,7483685474,8471006101,8992721809,8751842840,6288245867,8086725729,12512460520,19448348073,10117113333,9651149302,13281767143,15565480322,18138049096,20249694002,18525399202,17609048822,18920840000,22278423077,21774033333,24298032258,26579005760,28781714764,31598341234,30957483950,31708874594,33166519418,33768660883,37939748769,46438484108,48244309133,49984559471,51270569884,53369787319,53991289844,54724081491,60158929188,65108544250,69442943089,71819083684,79611888213,91631278239,1.02478E+11,1.15279E+11,1.28638E+11,1.33356E+11,1.4999E+11,1.72885E+11,1.95079E+11,2.21415E+11,2.49724E+11
Bulgaria,BGR,GDP (current US$),NY.GDP.MKTP.CD,,,,,,,,,,,,,,,,,,,,,19839230769,19870000000,19342000000,16563666667,17594944444,17155421053,20249294118,28101000000,22555941176,21988444444,20632090909,10943548387,10350515464,10829710145,9697416974,13063422619,10109612142,11195612105,14630992956,13495075366,13153016531,14075616789,16276456428,20982685981,25957970922,29636617750,34130122491,44411476557,54409138498,51884481410,50610058210,57418414504,53903022339,55758754072,56731990232,50199104511,53240893665,56831518294
Bahrain,BHR,GDP (current US$),NY.GDP.MKTP.CD,,,,,,,,,,,,,,,,,,,,,3072698328,3467819149,3645744681,3735106383,3905585106,3651861702,3052393617,3392021011,3702393617,3863563830,4229787234,4616223404,4751063830,5200265957,5567553457,5849467819,6101861436,6349202394,6183776596,6621010372,9062906915,8976207713,9632155053,11074822074,13150166755,15968726862,18505053191,21730000000,25710877660,22938218085,25713271277,28776595745,30749308511,32539547872,33387712766,31125851064,32152686170,35307127660
"Bahamas, The",BHS,GDP (current US$),NY.GDP.MKTP.CD,169803921.6,190098039.2,212254902,237745098,266666666.7,300392156.9,340000000,390196078.4,444901960.8,528137254.9,538423153.7,573400000,590900000,670900000,632400000,596200000,642100000,713000000,832400000,1139800100,1335300000,1426500000,1578300000,1732800000,2041100000,2320699900,2472500000,2713999900,2817900000,3062000000,3166000000,3111160000,3109000000,3092000000,3259000000,3429000000,3609000000,6332360000,6833220000,7683870000,8076470000,8317830000,8881160000,8870090000,9055290000,9836200000,10167250000,10618340000,10526000000,9981960000,10095760000,10070450000,10720500000,10627600000,10957300000,11792300000,11838800000,12162100000
Bosnia and Herzegovina,BIH,GDP (current US$),NY.GDP.MKTP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1255802469,1866572954,2786045322,3671816504,4116699437,4685729739,5505984456,5748990666,6651226179,8370020196,10022840635,11225138297,12866524918,15776422673,19112739664,17613836210,17176781337,18644723861,17226849297,18178503835,18558343508,16209702864,16911088174,18168579578
Belarus,BLR,GDP (current US$),NY.GDP.MKTP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21650000000,18000000000,17037037037,16280991736,14932024169,13972676841,14756846154,14128408566,15222012660,12138486532,12736856828,12354820144,14594249023,17827791321,23144351852,30207567317,36954312354,45277399814,60763483146,49209523810,57222490769,61757788945,65685102555,75527984234,78813839984,56454734397,47722657821,54442374373
Belize,BLZ,GDP (current US$),NY.GDP.MKTP.CD,28071888.56,29964370.71,31856922.86,33749405.01,36193826.12,40069930.07,44405594.41,47379310.34,44910179.64,47305389.22,53233532.93,59207317.07,66062500,78343558.28,103216374.3,118066298.3,96905829.6,117650000,136300000,151800000,194750000,192900000,179250000,189000000,210900000,209150000,227850000,276550000,314900000,363150000,413050000,444720750,518239100,559858250,580863700,620140400,641383800,654314350,688992450,732732350,832072450,871860600,932551850,990374050,1057845500,1114222550,1217467600,1290573400,1368625150,1336957250,1397113450,1487005600,1573670250,1612573850,1703951050,1778567600,1820158550,1838000000
Bermuda,BMU,GDP (current US$),NY.GDP.MKTP.CD,84466654.08,89249986.7,94149985.97,96366652.31,107566650.6,114339049,134173373.8,155102984.6,150000000,164900000,186300000,211100000,235400000,269500000,312600000,345000000,386300000,447000000,475800000,517200000,613299968,739100032,785500032,889400000,985699968,1039500032,1173500032,1296499968,1415100032,1501500032,1592400000,1634899968,1679900032,1820359936,1867160064,2030749952,2695390000,2932827000,3130748000,3324433000,3480219000,3680483000,3937228000,4186525000,4484703000,4868136000,5414299000,5895048000,6109928000,5806378000,5744414000,5550771000,5537537000,5573710000,,,,
Bolivia,BOL,GDP (current US$),NY.GDP.MKTP.CD,563110051.9,612518906.8,669722541.3,721142957.3,812543072.5,908874537,994044553.9,1084059815,908874537,964615698.7,1017171717,1095454545,1257615645,1263018491,2100249875,2404697651,2732083958,3227436282,3758220890,4421343606,4537487843,5891606676,5594118400,5422656262,6169481549,5377277407,3959379488,4347956299,4597615563,4715978868,4867582620,5343274312,5643893347,5734676561,5981244887,6715220507,7396966657,7925673448,8497545598,8285075872,8397912509,8141537938,7905485077,8082364868,8773451739,9549077869,11451869165,13120183157,16674324634,17339992165,19649631308,23963033444,27084497540,30659338929,32996187988,33000198263,33941126194,37508642113
Brazil,BRA,GDP (current US$),NY.GDP.MKTP.CD,15165569913,15236854859,19926293839,23021477292,21211892260,21790035117,27062716578,30591834054,33875881876,37458898244,42327600098,49204456700,58539008786,79279057731,1.05136E+11,1.23709E+11,1.52678E+11,1.76171E+11,2.00801E+11,2.24969E+11,2.35025E+11,2.63561E+11,2.81682E+11,2.03305E+11,2.09024E+11,2.22943E+11,2.68137E+11,2.94084E+11,3.30397E+11,4.25595E+11,4.61952E+11,6.0286E+11,4.00599E+11,4.37799E+11,5.58112E+11,7.69305E+11,8.50426E+11,8.832E+11,8.63723E+11,5.99389E+11,6.55421E+11,5.59372E+11,5.07962E+11,5.5832E+11,6.69317E+11,8.9163E+11,1.10764E+12,1.39708E+12,1.69582E+12,1.66702E+12,2.20887E+12,2.6162E+12,2.46519E+12,2.47281E+12,2.45599E+12,1.80221E+12,1.79399E+12,2.05551E+12
Barbados,BRB,GDP (current US$),NY.GDP.MKTP.CD,,,,,,,,,,,,,,,441595558.6,475761121.2,515665506.1,585680637.1,654039198.2,793011830.8,1017805365,1120203466,1170432058,1242716530,1354407509,1417575550,1556321742,1713771321,1822815594,2015731029,2023318252,2007109829,1950900000,2046189032,2151295182,2261969870,2411872918,2549296475,2874459305,3012081738,3121500000,3116650000,3169600000,3274850000,3514350000,3897300000,4246600000,4523750000,4607300000,4434050000,4461650000,4660900000,4656350000,4612500000,4608350000,4584150000,4529050000,4796845981
Brunei Darussalam,BRN,GDP (current US$),NY.GDP.MKTP.CD,,,,,,114040245.7,132758395.4,139030445.6,160819286.6,161211289.7,179080099.3,197523179.2,270818555.8,433092003.6,1073577086,1168304306,1423061357,1732721161,1941600704,2803780006,4928824958,4366213850,4264252336,3844723142,3782523088,3523612563,2358592817,2754463438,2690717551,2985467979,3520551724,3701667053,4183548189,4105706152,4087337960,4734020037,5115602837,5197332974,4051147228,4600000000,6001153306,5601090584,5843329108,6557333085,7872333215,9531402848,11470703002,12247694247,14393099069,10732366286,13707370737,18525319978,19048495519,18093829923,17098342541,12930394938,11400653960,12128089002
Bhutan,BTN,GDP (current US$),NY.GDP.MKTP.CD,,,,,,,,,,,,,,,,,,,,,135653295.2,146391639.7,148934334,165585940.6,169264991.2,172217502,201375725.6,253182453.7,283855833.3,275949889.1,299787275.8,250045839.9,250794359.6,235239570.4,270801565.2,303053462.8,316420860.9,365964500.1,376955087.3,419035810.5,439158233.2,476360697.2,537050133.7,622026107.8,702682019,818869145.1,897731524.9,1196091805,1258332337,1264758198,1585472534,1820207626,1823692110,1798333726,1944782821,2059258653,2212638830,2511852941
Botswana,BWA,GDP (current US$),NY.GDP.MKTP.CD,30412308.99,32902336.64,35643207.63,38091150.57,41613969.05,45790869.75,51464435.15,58646443.51,66248256.62,77356914.08,96245114.46,126957494.4,165258093.9,244129088,306033848.4,355172413.8,372010119.6,451603325.4,590376720.6,819877300.6,1060923829,1073861599,1014907255,1172258182,1240796365,1114764007,1392634772,1965274882,2644536804,3083800685,3790567052,3942792837,4146513722,4160086253,4259330999,4730611067,4847752843,5020214747,4790458837,5484257417,5788329609,5489608300,5438857107,7511582173,8957467707,9931134941,10126940513,10939053365,10945070442,10267133178,12786654366,15682926896,14686278707,14915780539,16250774267,14420551446,15648700274,17406530781
Central African Republic,CAF,GDP (current US$),NY.GDP.MKTP.CD,112155598.9,123134584.5,124482748.9,129379097.9,142025069.5,150574816.3,157930041.9,163820538.9,191767437,188039191.3,189106554.5,201450768.4,230317908,271183061.4,281398668.2,378660016.3,451152450,507298120.7,610578523.8,700764892.7,797048028.8,694803502.7,748312283.7,658679394.9,637820620.7,864849765.1,1122265026,1200991826,1264899368,1233930277,1440711396,1377375031,1411917558,1278781167,851174350.6,1115389732,1007791186,937741468,967338348.7,999477510.7,914500299.1,931833302.8,991387870.1,1139754799,1270080251,1337362392,1460561215,1697565949,1985240986,1981732634,1986015906,2195599557,2169706564,1518565298,1702899386,1583776806,1755468137,1949411659
Canada,CAN,GDP (current US$),NY.GDP.MKTP.CD,41093453545,40767969454,41978852041,44657169109,48882938810,53909570342,60358632035,64768831262,70759031842,77887510242,87896095224,99271961478,1.13083E+11,1.31322E+11,1.60409E+11,1.73834E+11,2.06576E+11,2.11612E+11,2.18633E+11,2.43072E+11,2.73854E+11,3.06215E+11,3.13507E+11,3.40548E+11,3.55373E+11,3.64756E+11,3.77438E+11,4.31317E+11,5.07354E+11,5.65056E+11,5.9393E+11,6.10328E+11,5.92388E+11,5.77171E+11,5.78139E+11,6.04032E+11,6.28546E+11,6.52825E+11,6.31813E+11,6.76083E+11,7.42293E+11,7.3638E+11,7.57951E+11,8.92381E+11,1.0232E+12,1.16936E+12,1.31542E+12,1.46498E+12,1.54913E+12,1.37115E+12,1.61346E+12,1.78865E+12,1.82429E+12,1.84263E+12,1.79927E+12,1.55962E+12,1.53577E+12,1.65304E+12
Central Europe and the Baltics,CEB,GDP (current US$),NY.GDP.MKTP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.56391E+11,2.42845E+11,2.6007E+11,2.74193E+11,3.11016E+11,3.86484E+11,4.12962E+11,4.09178E+11,4.47675E+11,4.34159E+11,4.27831E+11,4.68375E+11,5.27432E+11,6.34788E+11,7.62873E+11,8.8629E+11,1.00244E+12,1.26588E+12,1.52958E+12,1.28622E+12,1.3127E+12,1.44607E+12,1.35151E+12,1.42265E+12,1.4639E+12,1.28622E+12,1.31307E+12,1.45075E+12
Switzerland,CHE,GDP (current US$),NY.GDP.MKTP.CD,9522746719,10712712465,11879982759,13063643796,14480556572,15346741670,16480058705,17740013179,18942729779,20524886616,,,,,,,,,,,1.19008E+11,1.08994E+11,1.11711E+11,1.11314E+11,1.06285E+11,1.07766E+11,1.54482E+11,1.93466E+11,2.09298E+11,2.02079E+11,2.58067E+11,2.61114E+11,2.71814E+11,2.64353E+11,2.92647E+11,3.42617E+11,3.30092E+11,2.86519E+11,2.95045E+11,2.89912E+11,2.72055E+11,2.78631E+11,3.01417E+11,3.52915E+11,3.94164E+11,4.08689E+11,4.30921E+11,4.79913E+11,5.54363E+11,5.41507E+11,5.83783E+11,6.9958E+11,6.68044E+11,6.88504E+11,7.09183E+11,6.79289E+11,6.68745E+11,6.78887E+11
Channel Islands,CHI,GDP (current US$),NY.GDP.MKTP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5945677377,6262740657,6439703435,6232906290,6663669065,7332244898,8553643354,8827272727,9676172953,11514605842,,,,,,,,,,
Chile,CHL,GDP (current US$),NY.GDP.MKTP.CD,4110000000,4609727273,5416272727,5668187500,5982347826,6026593750,7072641026,7013196078,7167086957,8377093023,9126309735,10884114754,11853817308,16836261173,16210404184,7622217352,10341925249,13962893422,15989933708,21803696985,29036709872,34509878044,25325893206,20355959237,19622527480,17702885394,18891048819,22255407685,26040229793,29885685143,33113887818,37834793730,45964327559,49297773130,57008425296,73447063319,78039572222,84952360922,81577430181,75173794497,77860932152,70979923960,69736811435,75643459840,99210392858,1.22965E+11,1.54788E+11,1.73606E+11,1.79638E+11,1.72389E+11,2.18538E+11,2.52252E+11,2.67122E+11,2.78384E+11,2.60584E+11,2.43999E+11,2.50036E+11,2.77076E+11
China,CHN,GDP (current US$),NY.GDP.MKTP.CD,59716467625,50056868958,47209359006,50706799903,59708343489,70436266147,76720285970,72881631327,70846535056,79705906247,92602973434,99800958648,1.13688E+11,1.38544E+11,1.44182E+11,1.63432E+11,1.5394E+11,1.74938E+11,1.49541E+11,1.78281E+11,1.91149E+11,1.95866E+11,2.0509E+11,2.30687E+11,2.59947E+11,3.09488E+11,3.00758E+11,2.72973E+11,3.12354E+11,3.47768E+11,3.60858E+11,3.83373E+11,4.26916E+11,4.44731E+11,5.64325E+11,7.34548E+11,8.63747E+11,9.61604E+11,1.02904E+12,1.094E+12,1.21135E+12,1.3394E+12,1.47055E+12,1.66029E+12,1.95535E+12,2.28597E+12,2.75213E+12,3.55218E+12,4.59821E+12,5.10995E+12,6.10062E+12,7.57255E+12,8.56055E+12,9.60722E+12,1.04824E+13,1.10647E+13,1.1191E+13,1.22377E+13
Cote d'Ivoire,CIV,GDP (current US$),NY.GDP.MKTP.CD,546203561.6,618245639.2,645284344.7,761047045.8,921063266.4,919771356.4,1024103034,1082922892,1281281246,1361360157,1455482990,1584128262,1849400600,2508421235,3070151901,3893839190,4662053708,6265067858,7900524898,9142935858,10175615442,8432588484,7567109767,6838185419,6841638715,6977650069,9158302205,10087653189,10255170460,9757410614,10795850107,10492628915,11152971316,11045759469,8313557450,11000146839,12139234939,11722142706,12612033729,12376639823,10717022463,11192560827,12346919216,15306602560,16554441847,17084928927,17800887796,20343635320,24224903100,24277493862,24884505035,25381616734,27040562587,31273049200,35372603446,33145096414,36374849865,40388624117
Cameroon,CMR,GDP (current US$),NY.GDP.MKTP.CD,618740988,657597382.8,699373701.2,723624365.3,782384527.8,814139855.8,853268771.1,934079050.3,1053077155,1152418515,1160002261,1233991075,1430951332,1758727395,2255496995,2752771044,3076592431,3366368665,4409920644,5811444661,6740756569,7636345827,7322914570,7381854747,7801858825,8148223604,10621158533,12302471429,12493286762,11140055364,11151578051,12434370005,11396310990,15498179313,10600157684,9643953175,10513387442,10833497458,10612847429,11198378749,10083937740,10371327756,11579343088,14548845765,17430933517,17944084201,19356046328,22365265026,26409781215,26017925552,26143818510,29337006833,29104437355,32348149947,34942948737,30916218544,32217537943,34798596482
"Congo, Dem. Rep.",COD,GDP (current US$),NY.GDP.MKTP.CD,3359404118,3086746857,3779841429,6213185743,2881545273,4043901818,4532660182,3384063372,3909780539,5032434970,4877684910,5594770359,6173712814,7870239461,9596960180,10237343174,9648583225,12344424764,15372608002,15068422236,14394927495,12537821038,13651667371,11006712650,7857729193,7195042616,8095367168,7661625473,8861299977,9021862775,9349764580,9625436873,8227343907,10706259937,5820382248,5643439376,5771454940,6090840548,6215591270,4711259427,19088046306,7438189100,8728038525,8937567060,10297483481,11964484668,14451902468,16737071816,19788515874,18648373312,21565722425,25839749199,29306223081,32671683662,35917650630,37917704900,34991160100,37241300949
"Congo, Rep.",COG,GDP (current US$),NY.GDP.MKTP.CD,131731862.6,151675739.2,166521239.9,172233430.9,185693724.8,198318063.9,220613582.4,237397428.3,251247458,265040036.1,274960699.9,322128019.3,410669262.9,541973362.5,585364635.4,767102679,754549600.5,765224030.6,878771771.3,1198749666,1705796850,1993512326,2160640567,2097274290,2193581366,2160872541,1849268215,2297753649,2212536313,2389593022,2798746051,2724853593,2933222714,1918970032,1769365425,2116003978,2540697688,2322718991,1949481297,2353909564,3219910550,2794259783,3019993739,3495868808,4648628921,6087003176,7731261311,8394688284,11859013281,9593537551,12007880439,14425607180,13677930124,14085851348,14177437982,8553154580,7833508879,8722553001
